id,text,authentic
59001001,"James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.",FALSE
59001002,"My brethren, count it all joy when ye fall into divers temptations;",FALSE
59001003,"Knowing this, that the trying of your faith worketh patience.",FALSE
59001004,"But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.",FALSE
59001005,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",FALSE
59001006,"But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.",FALSE
59001007,For let not that man think that he shall receive any thing of the Lord.,FALSE
59001008,A double minded man is unstable in all his ways.,FALSE
59001009,Let the brother of low degree rejoice in that he is exalted:,FALSE
59001010,"But the rich, in that he is made low: because as the flower of the grass he shall pass away.",FALSE
59001011,"For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.",FALSE
59001012,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.",FALSE
59001013,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:",FALSE
59001014,"But every man is tempted, when he is drawn away of his own lust, and enticed.",FALSE
59001015,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.",FALSE
59001016,"Do not err, my beloved brethren.",FALSE
59001017,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",FALSE
59001018,"Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.",FALSE
59001019,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:",FALSE
59001020,For the wrath of man worketh not the righteousness of God.,FALSE
59001021,"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",FALSE
59001022,"But be ye doers of the word, and not hearers only, deceiving your own selves.",FALSE
59001023,"For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:",FALSE
59001024,"For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was.",FALSE
59001025,"But whoso looketh into the perfect law of liberty, and continueth therein, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed.",FALSE
59001026,"If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion is vain.",FALSE
59001027,"Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, and to keep himself unspotted from the world.",FALSE
59002001,"My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.",FALSE
59002002,"For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;",FALSE
59002003,"And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool:",FALSE
59002004,"Are ye not then partial in yourselves, and are become judges of evil thoughts?",FALSE
59002005,"Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him?",FALSE
59002006,"But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?",FALSE
59002007,Do not they blaspheme that worthy name by the which ye are called?,FALSE
59002008,"If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:",FALSE
59002009,"But if ye have respect to persons, ye commit sin, and are convinced of the law as transgressors.",FALSE
59002010,"For whosoever shall keep the whole law, and yet offend in one point, he is guilty of all.",FALSE
59002011,"For he that said, Do not commit adultery, said also, Do not kill. Now if thou commit no adultery, yet if thou kill, thou art become a transgressor of the law.",FALSE
59002012,"So speak ye, and so do, as they that shall be judged by the law of liberty.",FALSE
59002013,"For he shall have judgment without mercy, that hath shewed no mercy; and mercy rejoiceth against judgment.",FALSE
59002014,"What doth it profit, my brethren, though a man say he hath faith, and have not works? can faith save him?",FALSE
59002015,"If a brother or sister be naked, and destitute of daily food,",FALSE
59002016,"And one of you say unto them, Depart in peace, be ye warmed and filled; notwithstanding ye give them not those things which are needful to the body; what doth it profit?",FALSE
59002017,"Even so faith, if it hath not works, is dead, being alone.",FALSE
59002018,"Yea, a man may say, Thou hast faith, and I have works: shew me thy faith without thy works, and I will shew thee my faith by my works.",FALSE
59002019,"Thou believest that there is one God; thou doest well: the devils also believe, and tremble.",FALSE
59002020,"But wilt thou know, O vain man, that faith without works is dead?",FALSE
59002021,"Was not Abraham our father justified by works, when he had offered Isaac his son upon the altar?",FALSE
59002022,"Seest thou how faith wrought with his works, and by works was faith made perfect?",FALSE
59002023,"And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of God.",FALSE
59002024,"Ye see then how that by works a man is justified, and not by faith only.",FALSE
59002025,"Likewise also was not Rahab the harlot justified by works, when she had received the messengers, and had sent them out another way?",FALSE
59002026,"For as the body without the spirit is dead, so faith without works is dead also.",FALSE
59003001,"My brethren, be not many masters, knowing that we shall receive the greater condemnation.",FALSE
59003002,"For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.",FALSE
59003003,"Behold, we put bits in the horses' mouths, that they may obey us; and we turn about their whole body.",FALSE
59003004,"Behold also the ships, which though they be so great, and are driven of fierce winds, yet are they turned about with a very small helm, whithersoever the governor listeth.",FALSE
59003005,"Even so the tongue is a little member, and boasteth great things. Behold, how great a matter a little fire kindleth!",FALSE
59003006,"And the tongue is a fire, a world of iniquity: so is the tongue among our members, that it defileth the whole body, and setteth on fire the course of nature; and it is set on fire of hell.",FALSE
59003007,"For every kind of beasts, and of birds, and of serpents, and of things in the sea, is tamed, and hath been tamed of mankind:",FALSE
59003008,"But the tongue can no man tame; it is an unruly evil, full of deadly poison.",FALSE
59003009,"Therewith bless we God, even the Father; and therewith curse we men, which are made after the similitude of God.",FALSE
59003010,"Out of the same mouth proceedeth blessing and cursing. My brethren, these things ought not so to be.",FALSE
59003011,Doth a fountain send forth at the same place sweet water and bitter?,FALSE
59003012,"Can the fig tree, my brethren, bear olive berries? either a vine, figs? so can no fountain both yield salt water and fresh.",FALSE
59003013,Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.,FALSE
59003014,"But if ye have bitter envying and strife in your hearts, glory not, and lie not against the truth.",FALSE
59003015,"This wisdom descendeth not from above, but is earthly, sensual, devilish.",FALSE
59003016,"For where envying and strife is, there is confusion and every evil work.",FALSE
59003017,"But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.",FALSE
59003018,And the fruit of righteousness is sown in peace of them that make peace.,FALSE
59004001,"From whence come wars and fightings among you? come they not hence, even of your lusts that war in your members?",FALSE
59004002,"Ye lust, and have not: ye kill, and desire to have, and cannot obtain: ye fight and war, yet ye have not, because ye ask not.",FALSE
59004003,"Ye ask, and receive not, because ye ask amiss, that ye may consume it upon your lusts.",FALSE
59004004,"Ye adulterers and adulteresses, know ye not that the friendship of the world is enmity with God? whosoever therefore will be a friend of the world is the enemy of God.",FALSE
59004005,"Do ye think that the scripture saith in vain, The spirit that dwelleth in us lusteth to envy?",FALSE
59004006,"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.",FALSE
59004007,"Submit yourselves therefore to God. Resist the devil, and he will flee from you.",FALSE
59004008,"Draw nigh to God, and he will draw nigh to you. Cleanse your hands, ye sinners; and purify your hearts, ye double minded.",FALSE
59004009,"Be afflicted, and mourn, and weep: let your laughter be turned to mourning, and your joy to heaviness.",FALSE
59004010,"Humble yourselves in the sight of the Lord, and he shall lift you up.",FALSE
59004011,"Speak not evil one of another, brethren. He that speaketh evil of his brother, and judgeth his brother, speaketh evil of the law, and judgeth the law: but if thou judge the law, thou art not a doer of the law, but a judge.",FALSE
59004012,"There is one lawgiver, who is able to save and to destroy: who art thou that judgest another?",FALSE
59004013,"Go to now, ye that say, To day or to morrow we will go into such a city, and continue there a year, and buy and sell, and get gain:",FALSE
59004014,"Whereas ye know not what shall be on the morrow. For what is your life? It is even a vapour, that appeareth for a little time, and then vanisheth away.",FALSE
59004015,"For that ye ought to say, If the Lord will, we shall live, and do this, or that.",FALSE
59004016,But now ye rejoice in your boastings: all such rejoicing is evil.,FALSE
59004017,"Therefore to him that knoweth to do good, and doeth it not, to him it is sin.",FALSE
59005001,"Go to now, ye rich men, weep and howl for your miseries that shall come upon you.",FALSE
59005002,"Your riches are corrupted, and your garments are motheaten.",FALSE
59005003,"Your gold and silver is cankered; and the rust of them shall be a witness against you, and shall eat your flesh as it were fire. Ye have heaped treasure together for the last days.",FALSE
59005004,"Behold, the hire of the labourers who have reaped down your fields, which is of you kept back by fraud, crieth: and the cries of them which have reaped are entered into the ears of the Lord of sabaoth.",FALSE
59005005,"Ye have lived in pleasure on the earth, and been wanton; ye have nourished your hearts, as in a day of slaughter.",FALSE
59005006,Ye have condemned and killed the just; and he doth not resist you.,FALSE
59005007,"Be patient therefore, brethren, unto the coming of the Lord. Behold, the husbandman waiteth for the precious fruit of the earth, and hath long patience for it, until he receive the early and latter rain.",FALSE
59005008,Be ye also patient; stablish your hearts: for the coming of the Lord draweth nigh.,FALSE
59005009,"Grudge not one against another, brethren, lest ye be condemned: behold, the judge standeth before the door.",FALSE
59005010,"Take, my brethren, the prophets, who have spoken in the name of the Lord, for an example of suffering affliction, and of patience.",FALSE
59005011,"Behold, we count them happy which endure. Ye have heard of the patience of Job, and have seen the end of the Lord; that the Lord is very pitiful, and of tender mercy.",FALSE
59005012,"But above all things, my brethren, swear not, neither by heaven, neither by the earth, neither by any other oath: but let your yea be yea; and your nay, nay; lest ye fall into condemnation.",FALSE
59005013,Is any among you afflicted? let him pray. Is any merry? let him sing psalms.,FALSE
59005014,"Is any sick among you? let him call for the elders of the church; and let them pray over him, anointing him with oil in the name of the Lord:",FALSE
59005015,"And the prayer of faith shall save the sick, and the Lord shall raise him up; and if he have committed sins, they shall be forgiven him.",FALSE
59005016,"Confess your faults one to another, and pray one for another, that ye may be healed. The effectual fervent prayer of a righteous man availeth much.",FALSE
59005017,"Elias was a man subject to like passions as we are, and he prayed earnestly that it might not rain: and it rained not on the earth by the space of three years and six months.",FALSE
59005018,"And he prayed again, and the heaven gave rain, and the earth brought forth her fruit.",FALSE
59005019,"Brethren, if any of you do err from the truth, and one convert him;",FALSE
59005020,"Let him know, that he which converteth the sinner from the error of his way shall save a soul from death, and shall hide a multitude of sins.",FALSE
60001001,"Peter, an apostle of Jesus Christ, to the strangers scattered throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia,",FALSE
60001002,"Elect according to the foreknowledge of God the Father, through sanctification of the Spirit, unto obedience and sprinkling of the blood of Jesus Christ: Grace unto you, and peace, be multiplied.",FALSE
60001003,"Blessed be the God and Father of our Lord Jesus Christ, which according to his abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead,",FALSE
60001004,"To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,",FALSE
60001005,Who are kept by the power of God through faith unto salvation ready to be revealed in the last time.,FALSE
60001006,"Wherein ye greatly rejoice, though now for a season, if need be, ye are in heaviness through manifold temptations:",FALSE
60001007,"That the trial of your faith, being much more precious than of gold that perisheth, though it be tried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ:",FALSE
60001008,"Whom having not seen, ye love; in whom, though now ye see him not, yet believing, ye rejoice with joy unspeakable and full of glory:",FALSE
60001009,"Receiving the end of your faith, even the salvation of your souls.",FALSE
60001010,"Of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:",FALSE
60001011,"Searching what, or what manner of time the Spirit of Christ which was in them did signify, when it testified beforehand the sufferings of Christ, and the glory that should follow.",FALSE
60001012,"Unto whom it was revealed, that not unto themselves, but unto us they did minister the things, which are now reported unto you by them that have preached the gospel unto you with the Holy Ghost sent down from heaven; which things the angels desire to look into.",FALSE
60001013,"Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jesus Christ;",FALSE
60001014,"As obedient children, not fashioning yourselves according to the former lusts in your ignorance:",FALSE
60001015,"But as he which hath called you is holy, so be ye holy in all manner of conversation;",FALSE
60001016,"Because it is written, Be ye holy; for I am holy.",FALSE
60001017,"And if ye call on the Father, who without respect of persons judgeth according to every man's work, pass the time of your sojourning here in fear:",FALSE
60001018,"Forasmuch as ye know that ye were not redeemed with corruptible things, as silver and gold, from your vain conversation received by tradition from your fathers;",FALSE
60001019,"But with the precious blood of Christ, as of a lamb without blemish and without spot:",FALSE
60001020,"Who verily was foreordained before the foundation of the world, but was manifest in these last times for you,",FALSE
60001021,"Who by him do believe in God, that raised him up from the dead, and gave him glory; that your faith and hope might be in God.",FALSE
60001022,"Seeing ye have purified your souls in obeying the truth through the Spirit unto unfeigned love of the brethren, see that ye love one another with a pure heart fervently:",FALSE
60001023,"Being born again, not of corruptible seed, but of incorruptible, by the word of God, which liveth and abideth for ever.",FALSE
60001024,"For all flesh is as grass, and all the glory of man as the flower of grass. The grass withereth, and the flower thereof falleth away:",FALSE
60001025,But the word of the Lord endureth for ever. And this is the word which by the gospel is preached unto you.,FALSE
60002001,"Wherefore laying aside all malice, and all guile, and hypocrisies, and envies, all evil speakings,",FALSE
60002002,"As newborn babes, desire the sincere milk of the word, that ye may grow thereby:",FALSE
60002003,If so be ye have tasted that the Lord is gracious.,FALSE
60002004,"To whom coming, as unto a living stone, disallowed indeed of men, but chosen of God, and precious,",FALSE
60002005,"Ye also, as lively stones, are built up a spiritual house, an holy priesthood, to offer up spiritual sacrifices, acceptable to God by Jesus Christ.",FALSE
60002006,"Wherefore also it is contained in the scripture, Behold, I lay in Sion a chief corner stone, elect, precious: and he that believeth on him shall not be confounded.",FALSE
60002007,"Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,",FALSE
60002008,"And a stone of stumbling, and a rock of offence, even to them which stumble at the word, being disobedient: whereunto also they were appointed.",FALSE
60002009,"But ye are a chosen generation, a royal priesthood, an holy nation, a peculiar people; that ye should shew forth the praises of him who hath called you out of darkness into his marvellous light;",FALSE
60002010,"Which in time past were not a people, but are now the people of God: which had not obtained mercy, but now have obtained mercy.",FALSE
60002011,"Dearly beloved, I beseech you as strangers and pilgrims, abstain from fleshly lusts, which war against the soul;",FALSE
60002012,"Having your conversation honest among the Gentiles: that, whereas they speak against you as evildoers, they may by your good works, which they shall behold, glorify God in the day of visitation.",FALSE
60002013,"Submit yourselves to every ordinance of man for the Lord's sake: whether it be to the king, as supreme;",FALSE
60002014,"Or unto governors, as unto them that are sent by him for the punishment of evildoers, and for the praise of them that do well.",FALSE
60002015,"For so is the will of God, that with well doing ye may put to silence the ignorance of foolish men:",FALSE
60002016,"As free, and not using your liberty for a cloke of maliciousness, but as the servants of God.",FALSE
60002017,Honour all men. Love the brotherhood. Fear God. Honour the king.,FALSE
60002018,"Servants, be subject to your masters with all fear; not only to the good and gentle, but also to the froward.",FALSE
60002019,"For this is thankworthy, if a man for conscience toward God endure grief, suffering wrongfully.",FALSE
60002020,"For what glory is it, if, when ye be buffeted for your faults, ye shall take it patiently? but if, when ye do well, and suffer for it, ye take it patiently, this is acceptable with God.",FALSE
60002021,"For even hereunto were ye called: because Christ also suffered for us, leaving us an example, that ye should follow his steps:",FALSE
60002022,"Who did no sin, neither was guile found in his mouth:",FALSE
60002023,"Who, when he was reviled, reviled not again; when he suffered, he threatened not; but committed himself to him that judgeth righteously:",FALSE
60002024,"Who his own self bare our sins in his own body on the tree, that we, being dead to sins, should live unto righteousness: by whose stripes ye were healed.",FALSE
60002025,For ye were as sheep going astray; but are now returned unto the Shepherd and Bishop of your souls.,FALSE
60003001,"Likewise, ye wives, be in subjection to your own husbands; that, if any obey not the word, they also may without the word be won by the conversation of the wives;",FALSE
60003002,While they behold your chaste conversation coupled with fear.,FALSE
60003003,"Whose adorning let it not be that outward adorning of plaiting the hair, and of wearing of gold, or of putting on of apparel;",FALSE
60003004,"But let it be the hidden man of the heart, in that which is not corruptible, even the ornament of a meek and quiet spirit, which is in the sight of God of great price.",FALSE
60003005,"For after this manner in the old time the holy women also, who trusted in God, adorned themselves, being in subjection unto their own husbands:",FALSE
60003006,"Even as Sara obeyed Abraham, calling him lord: whose daughters ye are, as long as ye do well, and are not afraid with any amazement.",FALSE
60003007,"Likewise, ye husbands, dwell with them according to knowledge, giving honour unto the wife, as unto the weaker vessel, and as being heirs together of the grace of life; that your prayers be not hindered.",FALSE
60003008,"Finally, be ye all of one mind, having compassion one of another, love as brethren, be pitiful, be courteous:",FALSE
60003009,"Not rendering evil for evil, or railing for railing: but contrariwise blessing; knowing that ye are thereunto called, that ye should inherit a blessing.",FALSE
60003010,"For he that will love life, and see good days, let him refrain his tongue from evil, and his lips that they speak no guile:",FALSE
60003011,"Let him eschew evil, and do good; let him seek peace, and ensue it.",FALSE
60003012,"For the eyes of the Lord are over the righteous, and his ears are open unto their prayers: but the face of the Lord is against them that do evil.",FALSE
60003013,"And who is he that will harm you, if ye be followers of that which is good?",FALSE
60003014,"But and if ye suffer for righteousness' sake, happy are ye: and be not afraid of their terror, neither be troubled;",FALSE
60003015,But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,FALSE
60003016,"Having a good conscience; that, whereas they speak evil of you, as of evildoers, they may be ashamed that falsely accuse your good conversation in Christ.",FALSE
60003017,"For it is better, if the will of God be so, that ye suffer for well doing, than for evil doing.",FALSE
60003018,"For Christ also hath once suffered for sins, the just for the unjust, that he might bring us to God, being put to death in the flesh, but quickened by the Spirit:",FALSE
60003019,By which also he went and preached unto the spirits in prison;,FALSE
60003020,"Which sometime were disobedient, when once the longsuffering of God waited in the days of Noah, while the ark was a preparing, wherein few, that is, eight souls were saved by water.",FALSE
60003021,"The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience toward God,) by the resurrection of Jesus Christ:",FALSE
60003022,"Who is gone into heaven, and is on the right hand of God; angels and authorities and powers being made subject unto him.",FALSE
60004001,"Forasmuch then as Christ hath suffered for us in the flesh, arm yourselves likewise with the same mind: for he that hath suffered in the flesh hath ceased from sin;",FALSE
60004002,"That he no longer should live the rest of his time in the flesh to the lusts of men, but to the will of God.",FALSE
60004003,"For the time past of our life may suffice us to have wrought the will of the Gentiles, when we walked in lasciviousness, lusts, excess of wine, revellings, banquetings, and abominable idolatries:",FALSE
60004004,"Wherein they think it strange that ye run not with them to the same excess of riot, speaking evil of you:",FALSE
60004005,Who shall give account to him that is ready to judge the quick and the dead.,FALSE
60004006,"For for this cause was the gospel preached also to them that are dead, that they might be judged according to men in the flesh, but live according to God in the spirit.",FALSE
60004007,"But the end of all things is at hand: be ye therefore sober, and watch unto prayer.",FALSE
60004008,And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.,FALSE
60004009,Use hospitality one to another without grudging.,FALSE
60004010,"As every man hath received the gift, even so minister the same one to another, as good stewards of the manifold grace of God.",FALSE
60004011,"If any man speak, let him speak as the oracles of God; if any man minister, let him do it as of the ability which God giveth: that God in all things may be glorified through Jesus Christ, to whom be praise and dominion for ever and ever. Amen.",FALSE
60004012,"Beloved, think it not strange concerning the fiery trial which is to try you, as though some strange thing happened unto you:",FALSE
60004013,"But rejoice, inasmuch as ye are partakers of Christ's sufferings; that, when his glory shall be revealed, ye may be glad also with exceeding joy.",FALSE
60004014,"If ye be reproached for the name of Christ, happy are ye; for the spirit of glory and of God resteth upon you: on their part he is evil spoken of, but on your part he is glorified.",FALSE
60004015,"But let none of you suffer as a murderer, or as a thief, or as an evildoer, or as a busybody in other men's matters.",FALSE
60004016,"Yet if any man suffer as a Christian, let him not be ashamed; but let him glorify God on this behalf.",FALSE
60004017,"For the time is come that judgment must begin at the house of God: and if it first begin at us, what shall the end be of them that obey not the gospel of God?",FALSE
60004018,"And if the righteous scarcely be saved, where shall the ungodly and the sinner appear?",FALSE
60004019,"Wherefore let them that suffer according to the will of God commit the keeping of their souls to him in well doing, as unto a faithful Creator.",FALSE
60005001,"The elders which are among you I exhort, who am also an elder, and a witness of the sufferings of Christ, and also a partaker of the glory that shall be revealed:",FALSE
60005002,"Feed the flock of God which is among you, taking the oversight thereof, not by constraint, but willingly; not for filthy lucre, but of a ready mind;",FALSE
60005003,"Neither as being lords over God's heritage, but being ensamples to the flock.",FALSE
60005004,"And when the chief Shepherd shall appear, ye shall receive a crown of glory that fadeth not away.",FALSE
60005005,"Likewise, ye younger, submit yourselves unto the elder. Yea, all of you be subject one to another, and be clothed with humility: for God resisteth the proud, and giveth grace to the humble.",FALSE
60005006,"Humble yourselves therefore under the mighty hand of God, that he may exalt you in due time:",FALSE
60005007,Casting all your care upon him; for he careth for you.,FALSE
60005008,"Be sober, be vigilant; because your adversary the devil, as a roaring lion, walketh about, seeking whom he may devour:",FALSE
60005009,"Whom resist stedfast in the faith, knowing that the same afflictions are accomplished in your brethren that are in the world.",FALSE
60005010,"But the God of all grace, who hath called us unto his eternal glory by Christ Jesus, after that ye have suffered a while, make you perfect, stablish, strengthen, settle you.",FALSE
60005011,To him be glory and dominion for ever and ever. Amen.,FALSE
60005012,"By Silvanus, a faithful brother unto you, as I suppose, I have written briefly, exhorting, and testifying that this is the true grace of God wherein ye stand.",FALSE
60005013,"The church that is at Babylon, elected together with you, saluteth you; and so doth Marcus my son.",FALSE
60005014,Greet ye one another with a kiss of charity. Peace be with you all that are in Christ Jesus. Amen.,FALSE
61001001,"Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ:",FALSE
61001002,"Grace and peace be multiplied unto you through the knowledge of God, and of Jesus our Lord,",FALSE
61001003,"According as his divine power hath given unto us all things that pertain unto life and godliness, through the knowledge of him that hath called us to glory and virtue:",FALSE
61001004,"Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.",FALSE
61001005,"And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;",FALSE
61001006,And to knowledge temperance; and to temperance patience; and to patience godliness;,FALSE
61001007,And to godliness brotherly kindness; and to brotherly kindness charity.,FALSE
61001008,"For if these things be in you, and abound, they make you that ye shall neither be barren nor unfruitful in the knowledge of our Lord Jesus Christ.",FALSE
61001009,"But he that lacketh these things is blind, and cannot see afar off, and hath forgotten that he was purged from his old sins.",FALSE
